---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0206 PSN 0x5c88aa OUT 0x10 RKey 0x010472 VAddr 0x007f3e73822000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:11:213:05:24
 remote address: LID 0000 QPN 0x01c7 PSN 0x4a9615 OUT 0x10 RKey 0x010af2 VAddr 0x007fcdf5d92000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:11:213:05:02
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.72           131.36       4.84     	       5.36        	4.12   		34.92   		131.36 
 4       1000          4.77           123.53       4.87     	       5.63        	5.56   		39.40   		123.53 
 8       1000          4.77           160.84       4.86     	       5.45        	4.02   		34.81   		160.84 
 16      1000          4.74           163.68       4.88     	       5.34        	3.95   		34.18   		163.68 
 32      1000          4.82           94.82        4.92     	       5.44        	3.88   		34.45   		94.82  
 64      1000          4.84           135.34       4.92     	       5.35        	3.39   		33.66   		135.34 
 128     1000          4.86           130.60       4.93     	       5.43        	4.04   		32.62   		130.60 
 256     1000          4.97           9564.92      5.07     	       6.75        	21.72  		53.06   		9564.92
 512     1000          5.09           97.23        5.22     	       5.75        	4.31   		37.04   		97.23  
 1024    1000          5.43           112.63       5.53     	       6.00        	3.94   		33.48   		112.63 
 2048    1000          5.93           79.05        6.03     	       6.58        	3.90   		36.02   		79.05  
 4096    1000          6.88           8485.36      6.97     	       7.82        	6.47   		44.14   		8485.36
 8192    1000          8.39           118.16       8.59     	       9.45        	5.33   		40.48   		118.16 
 16384   1000          11.23          97.79        11.43    	       12.53       	5.82   		45.21   		97.79  
 32768   1000          16.90          177.16       17.10    	       18.56       	6.67   		52.34   		177.16 
 65536   1000          28.45          149.36       28.79    	       30.78       	7.67   		60.10   		149.36 
 131072  1000          51.47          633.65       51.65    	       53.58       	8.27   		85.15   		633.65 
 262144  1000          96.59          164.21       96.86    	       100.15      	9.52   		133.25  		164.21 
 524288  1000          186.97         787.71       187.67   	       191.57      	15.82  		230.77  		787.71 
 1048576 1000          368.67         8879.20      369.14   	       426.38      	286.53 		1871.65 		8879.20
 2097152 1000          731.18         2613.69      731.89   	       735.08      	21.44  		780.18  		2613.69
 4194304 1000          1456.35        9796.35      1456.89  	       1492.86     	463.52 		1765.58 		9796.35
 8388608 1000          2906.37        25633.94      2906.94  	       3003.26     	719.59 		5715.18 		25633.94
---------------------------------------------------------------------------------------
